select * from master.m_fab_item_met limit 10	공정 계측 항목 테이블 예시 조회
select * from master.m_fab_item_met where line_id = 'KFBG' limit 10	KFBG 라인에서 수행하는 계측 항목 예시 조회
select count(distinct item_id) from master.m_fab_item_met where line_id = 'KFBG'	KFBG 라인에서 수행하는 계측 아이템 항목 개수를 보여줘
select count(distinct item_id) from master.m_fab_item_met where line_id in (select distinct line_id from master.spot_master_info_mem where line_no = '15')	15라인에서 수행하는 계측 아이템 항목을 중복 제외하고 전체 개수를 보여줘
select line_id, count(distinct item_id) from master.m_fab_item_met where line_id in (select distinct line_id from master.spot_master_info_mem where line_no in ('15','17')) group by line_id	15라인, 17라인 별 계측 아이템 항목 개수를 알려줘
select line_id, count(distinct item_id) from master.m_fab_item_met group by line_id having count(distinct item_id) > 100	계측 아이템 항목 개수가 100개 이상인 라인이 있으면 라인 별 계측 아이템 항목 개수를 보여줘
select distinct item_id, subitem_id from master.m_fab_item_met where line_id in (select distinct line_id from master.spot_master_info_mem where line_no in ('15'))	15라인의 계측 아이템, 세부 계측 아이템을 중복 제거하고 모두 보여줘
select aa.part_id, aa.item_id, aa.subitem_id from master.m_fab_item_met as aa left join master.spot_master_info_mem as bb on aa.line_id = bb.line_id where bb.line_no = '15' limit 10	15라인에서 작업한 제품들에 대해 공정 별 계측 항목, 세부 계측 항목 예시를 보여줘
select area, count(distinct item_id) from quality.m_fab_dcop_met where line_id = 'KFBG' and root_lot_id = 'GKG706' group by area	KFBG 라인에서 GKG706 root lot의 area 별 DCOP item id 개수를 조회하시오
select eqp_id, unnest(item_id) as itemID from quality.m_fab_dcop_met where line_id in (select distinct line_id from master.spot_master_info_mem where line_no = '15') and root_lot_id = 'GKG706'	15 라인 GKG706 root lot에 해당하는 설비 id, DCOP 계측 아이템 id를 조회하시오
select eqp_id, unnest(item_id) as itemID from quality.m_fab_dcop_met where line_id = 'KFBG' and root_lot_id = 'GKG706'	KFBG 라인 GKG706 root lot에 해당하는 설비 id, DCOP 계측 아이템 id를 조회하고 array 타입은 풀어서 조회
select eqp_id, unnest(item_id) as itemID, unnest(subitem_id) as subitemID, unnest(fab_value) as fabValue, unnest(spc_ctrl_spec_high) as hcl, unnest(spc_ctrl_spec_low) as ucl from quality.m_fab_dcop_met where line_id = 'KFBG' and root_lot_id = 'GKG706'	KFBG 라인 GKG706 root lot에 해당하는 설비 id, DCOP 계측 아이템 id, 서브 아이템 id, 계측 값, 스펙 상한선, 하한선을 조회하고 array 타입은 풀어서 조회
select eqp_id, itemID, subitemID, fabValue, hcl, ucl from (select eqp_id, unnest(item_id) as itemID, unnest(subitem_id) as subitemID, unnest(fab_value) as fabValue, unnest(spc_ctrl_spec_high) as hcl, unnest(spc_ctrl_spec_low) as ucl from quality.m_fab_dcop_met where line_id = 'KFBG' and root_lot_id = 'GKG706' ) aa where fabValue not between hcl and ucl	KFBG 라인 GKG706 루트랏 DCOP 계측 값이 스펙을 벗어나는 경우, 설비 ID, 계측 아이템 ID, 서브 아이템 ID, 계측 값, 스펙 상한선/하한선을 조회하시오
select * from quality.m_fab_dcop_met where part_id = 'K4F8E164HM-HAB' and root_lot_id = 'HAH070' and step_id = 'LA123610'	K4F8E164HM-HAB 제품 HAH070 루트랏의 LA123610 STEP에 대해 모든 DCOP 테스트 결과를 조회
select lot_id, wafer_id, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(fab_value) fab_value from quality.m_fab_dcop_met where part_id = 'K9GDGD8U0D-CXT' and root_lot_id = 'CKEBB7'	PART ID가 K9GDGD8U0D-CXT이고, ROOT LOT ID가 CKEBB7인 LOT, WAFER에 대하여 ITEM ID, SUBITEM ID, FAB VALUE를 조회
select item_id, subitem_id, stddev(fab_value) from (select unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(fab_value)::numeric fab_value from quality.m_fab_dcop_met where part_id = 'K9GDGD8U0D-CXT' and root_lot_id = 'CKEBB7')a where subitem_id = 'VALUE' group by item_id, subitem_id	PART ID가 K9GDGD8U0D-CXT이고 ROOT LOT ID가 CKEBB7인 경우에 대해, DCOP 계측 항목 마다 값의 산포를 계산
select item_id, subitem_id, stddev(fab_value) from (select unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(fab_value)::numeric fab_value from quality.m_fab_dcop_met where part_id = 'K9GDGD8U0D-CXT' and root_lot_id = 'CKEBB7')a where subitem_id = 'VALUE' group by item_id, subitem_id having stddev(fab_value) is not null	PART ID가 K9GDGD8U0D-CXT이고 ROOT LOT ID가 CKEBB7인 경우에 대해, DCOP 계측 항목 마다 값의 산포를 계산하되, 산포 값이 NULL인 경우는 제외하고 출력하라
select lot_id, wafer_id, dcol_operator from quality.m_fab_dcop_met where part_id = 'K9GDGD8U0D-CXT' and dcol_time between '2021-07-01' and '2021-07-31'	2021년 7월 한달 동안 진행한 K9GDGD8U0D-CXT 제품의 DCOP 계측 히스토리를 LOT ID, WAFER ID, 해당 작업자로 요약하여 조회
select count (distinct item_id) from master.m_defect_item where line_id = 'KFBH' and process_id = 'KGKV'	KFBH 라인에서 수행하는 KGKV 공법의 총 DEFECT TEST 항목 개수를 중복제외하고 조회
select step_seq, count(distinct item_id) from master.m_defect_item where line_id = 'KFBH' and process_id = 'KCHY' group by step_seq	KCHY 공법을 KFBH 라인에서 DEFECT 계측하는 경우 STEP SEQ 마다 검사해야할 ITEM의 Unique 개수를 조회
